1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,norm_air_quality
1396,2,15,7503,3,2.54,5.02,1,4013,1913,4,3,3,2,4,4,30,4,2,4,3,4,0,1,4,3,4,2,4.02,Europe,Iceland,reykjavik-iceland,0.038147139
2739,2,16,3050,2,2.77,4.67,1,3829,2980,3,2,4,4,3,3,20,4,4,3,3,3,0,1,3,4,4,4,4.61,North America,United States,new-york-city-ny-united-states,0.040871935
1240,2,12,1891,2,1.95,4.02,1,2143,1405,3,2,3,2,3,3,15,2,2,3,3,3,0,1,3,3,4,4,3.69,North America,United States,orlando-fl-united-states,0.029972752
436.02246,2,10,1159,3,0.36,1.43,3,471,688.2277712,2,1,3,2,3,1,22,1,2,1,3,2,0,0,2,3,1,4,3.65,Asia,Thailand,krabi-thailand,0.024523161
1118,2,20,2440,1,2.61,3.07,1,2321,1439,4,3,4,3,3,3,29,4,4,4,3,3,0,1,4,3,4,4,3.95,Europe,Germany,munich-germany,0.051771117
1569,4,23,5002,1,2.67,3.99,1,2894,1849,3,4,4,3,4,4,9,4,3,4,3,3,0,1,4,3,4,4,4.44,Europe,Netherlands,amsterdam-netherlands,0.059945504
727,2,20,1464,3,1.81,2.91,2,1625,1079,4,3,3,3,4,3,53,2,3,4,3,3,0,1,3,4,4,4,4.47,Europe,Sweden,malmo-sweden,0.051771117
1175,2,19,2227,2.239138702,3.43,5.04,1,2678,1786,4,4,3,3,4,4,42,3,2,4,3,3,0,1,4,3,4,4,4.14,Europe,Norway,bergen-norway,0.049046322
1541,2,18,4423,2.738558692,3.3,4.31,1,3414,2049,3,4,3,3,4,4,43,2,3,4,3,3,0,1,4,3,4,4,3.95,Europe,Norway,trondheim-norway,0.046321526
1658,4,19,2044,2,2.22,3.01,1,2260,1588,4,3,3,4,4,3,21,3,3,4,3,3,0,1,4,3,4,4,3.18,Oceania,Australia,melbourne-australia,0.049046322
1026,4,17,1769,2,1.74,2.77,1,1896,1290,4,3,3,1,4,3,19,4,3,4,3,3,0,1,4,4,4,4,4.18,Oceania,Australia,adelaide-australia,0.04359673
1512,4,14,1830,2,2.15,3.62,1,1980,1258,3,3,3,2,4,3,25,4,2,4,3,4,0,1,4,3,4,4,4.1,Oceania,New Zealand,auckland-new-zealand,0.035422343
610,2,1,2989,2,1.92,2.94,1,2061,1019,2,3,3,3,4,3,37,2,2,4,3,2,0,1,4,3,4,1,3.58,Oceania,New Zealand,queenstown-new-zealand,0
830,3,21,1556,2,1.13,2.26,2,1483,1018,3.419581894,3,4,3,4,3,30,2,2,4,3,4,0,1,4,4,4,4,3.82,Oceania,New Zealand,christchurch-new-zealand,0.054495913
813,2,13,1891,2,1.81,3.17,2,1760,1136,4,3,4,2,4,3,43,4,3,4,3,4,0,1,4,3,4,4,4.18,Oceania,New Zealand,wellington-new-zealand,0.032697548
1215,4,16,1739,2,2.36,3.09,1,2241,1570,4,3,3,1,4,3,19,3,2,4,3,3,0,1,4,3,4,4,3.03,Oceania,Australia,brisbane-australia,0.040871935
713,3,27,1739,2,1.47,2.25,2,1395,881,4,2,3.056887002,4,3.069371615,3,24,3,4,3,3,2,0,1,3,3,4,4,4.55,Europe,Czechia,prague-czechia,0.070844687
2520,2,20,2898,1,4.22,4.94,1,3426,2305,4,3,3,3,4,4,28,3,3,4,3,2,0,1,4,4,4,4,4.34,Europe,Switzerland,zurich-switzerland,0.051771117
1175,2,8,1891,1,2.86,1.86,1,2401,1500,3,2,3,3,2,4,17,2,3,3,3,2,0,1,3,3,4,4,3.97,Europe,Italy,milan-italy,0.019073569
711,2,32,2776,2,1.34,2.84,2,1748,966,2,2,2,2,2,4,15,3,3,3,3,1,0,1,4,3,4,4,3.84,Asia,Japan,osaka-japan,0.084468665
603,2,17,1251,3,1.58,2.43,2,1370,848,4,3,3,3,3,4,36,3,3,3,3,2,0,1,4,4,4,4,4.56,Europe,Spain,valencia-spain,0.04359673
362,2,15,1098,3,0.48,1.51,3,728,477,2,1,3,2,3,1,33,1,1,1,3,1,0,0,2,3,1,2,3.62,Asia,Thailand,ao-nang-thailand,0.038147139
539,2,8,1129,3,1.83,1.77,2,1302,773,3,3,3,3,3,4,35,2,3,3,3,2,0,1,4,3,4,4,4.34,Europe,Spain,alicante-spain,0.019073569
571,2,8,2318,3,1.62,2.17,2,1604,830,3,3,4,3,3,4,43,2,2,3,3,2,0,1,4,3,4,4,4.06,Europe,Spain,malaga-spain,0.019073569
830,2,14,2623,2.141193672,1.7,2.58,1,2173,1143,3,2,3,3,3,4,43,3,3,3,3,2.562193262,0,1,4,3,4,4,3.89,Europe,Malta,sliema-malta,0.035422343
910,2,19,1373,3,2.14,1.85,2,1776,1143,3,3,3,3,3,4,34,4,3,3,3,3,0,1,4,3,4,4,4.21,Europe,Spain,madrid-spain,0.049046322
150,2,20,2318,1,0.39,0.95,3,853,241,1,1,2,4,1,1,11,2,4,1,3,1,0,0,2,3,3,1,3.697741978,Asia,India,goa-india,0.051771117
1279,2,18,2288,1,2.47,1.26,1,2510,1530,2,2,3,4,2,4,22,1,3,3,3,2,0,1,3,3,4,4,2.96,Europe,Italy,rome-italy,0.046321526
1175,2,14,2166,2,1.44,2.55,1,2000,1285,3,3,3,3,4,3,38,4,4,4,3,4,0,1,3,4,4,4,4.35,North America,Canada,toronto-canada,0.035422343
1250,2,13,2532,2,1.84,4.12,1,2363,1590,3,2,4,3,3,3,36,3,3,3,4,3,0,1,3,4,4,4,4.17,North America,United States,boulder-co-united-states,0.032697548
1730,3,20,2928,2,2.67,4.01,1,3212,2241,3,2,4,3,3,3,18,3,3,3,3,3,0,1,3,4,4,4,4.6,North America,United States,los-angeles-ca-united-states,0.051771117
369,2,53,1617,1,0.61,1.23,3,938,483,2,1,4,3,3,2,16,2,2,2,3,1.870899011,0,0,1,3,4,4,4.17,Latin America,Mexico,playa-del-carmen-mexico,0.141689373
325,2,36,1434,3,1.85,1.47,3,975,515,3,2,3,2,2,3,12,1,2,3,3,2,1,0,4,3,4,4,4.34,Europe,Croatia,zagreb-croatia,0.095367847
675,2,18,1190,2,1.3,3.32,2,1339,959,3,2,2,4,2,4,17,2,1,3,3,2,0,1,4,3,4,1,3.1,Asia,Japan,kobe-japan,0.046321526
663,2,17,1312,2,1.5,2.43,2,1450,934,4,3,4,2,4,3,17,4,1,4,3,4,0,1,3,4,4,4,4.39,North America,Canada,winnipeg-canada,0.04359673
